## Torsion are defined with the following atomIDs:
# dihed1: ai= 11 aj= 9 ak= 8 al= 5
# dihed2: ai= 9 aj= 8 ak= 5 al= 4
# dihed3: ai= 8 aj= 5 ak= 4 al= 2
# dihed4: ai= 8 aj= 5 ak= 6 al= 31
# dihed5: ai= 5 aj= 4 ak= 2 al= 1
# dihed6: ai= 5 aj= 6 ak= 31 al= 32
# dihed7: ai= 6 aj= 31 ak= 32 al= 35
# dihed8: ai= 35 aj= 32 ak= 33 al= 45
# dihed9: ai= 31 aj= 32 ak= 35 al= 36
# dihed10: ai= 32 aj= 35 ak= 36 al= 38
# dihed11: ai= 35 aj= 36 ak= 38 al= 43
# dihed12: ai= 32 aj= 33 ak= 45 al= 46
# dihed13: ai= 33 aj= 45 ak= 46 al= 49
# dihed14: ai= 49 aj= 46 ak= 47 al= 69
# dihed15: ai= 45 aj= 46 ak= 49 al= 50
# dihed16: ai= 46 aj= 49 ak= 50 al= 52
# dihed17: ai= 46 aj= 47 ak= 69 al= 70
# dihed18: ai= 47 aj= 69 ak= 70 al= 73
# dihed19: ai= 69 aj= 70 ak= 71 al= 80
# dihed20: ai= 69 aj= 70 ak= 73 al= 74
# dihed21: ai= 70 aj= 73 ak= 74 al= 79
# dihed22: ai= 70 aj= 71 ak= 80 al= 81
# dihed23: ai= 71 aj= 80 ak= 81 al= 84
# dihed24: ai= 84 aj= 81 ak= 82 al= 102
# dihed25: ai= 80 aj= 81 ak= 84 al= 85
# dihed26: ai= 81 aj= 84 ak= 85 al= 86
# dihed27: ai= 84 aj= 85 ak= 86 al= 87
# dihed28: ai= 85 aj= 86 ak= 87 al= 88
# dihed29: ai= 81 aj= 82 ak= 102 al= 103
# dihed30: ai= 82 aj= 102 ak= 103 al= 106
# dihed31: ai= 102 aj= 103 ak= 104 al= 113
# dihed32: ai= 102 aj= 103 ak= 106 al= 107
# dihed33: ai= 103 aj= 106 ak= 107 al= 112
# dihed34: ai= 103 aj= 104 ak= 113 al= 114
# dihed35: ai= 104 aj= 113 ak= 114 al= 117
# dihed36: ai= 117 aj= 114 ak= 115 al= 124
# dihed37: ai= 113 aj= 114 ak= 117 al= 118
# dihed38: ai= 114 aj= 115 ak= 124 al= 125
# dihed39: ai= 114 aj= 117 ak= 118 al= 120
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9  dihed10  dihed11  dihed12  dihed13  dihed14  dihed15  dihed16  dihed17  dihed18  dihed19  dihed20  dihed21  dihed22  dihed23  dihed24  dihed25  dihed26  dihed27  dihed28  dihed29  dihed30  dihed31  dihed32  dihed33  dihed34  dihed35  dihed36  dihed37  dihed38  dihed39
10 -119.504  173.850   75.526  -74.086 -159.707  178.249  -48.608  159.601  -46.805  -77.232  172.185  170.102  157.309  -94.952   23.763   87.760  172.710  143.835  132.700  -57.551  -71.922  160.646 -169.600 -118.418  174.121   70.030 -156.168  156.682 -175.724  -46.159    3.036   67.160  -55.105  166.893   96.890   93.827 -172.266  159.461   84.130
11 -130.905 -156.733   86.759  -75.664 -170.261 -174.512  -40.813  147.738  -74.395 -105.615  160.685  173.263  163.152 -126.927   33.047  103.076 -172.312  149.540  135.040  -66.061  -56.449  174.070 -174.939 -113.165  173.576   82.541 -170.999  173.856  173.496  -52.242   38.441   75.564  -46.507  167.083   59.928  109.586  179.308 -177.339   72.997
12  -94.076 -173.016   86.285  -21.732  175.688 -178.597  -53.379 -155.918  -69.087  -99.233  174.326  172.479   98.735  -80.526  -52.669  112.810  176.965  170.425  128.200  -57.924   16.417  168.314  178.005 -105.521  170.860   61.381  170.913 -159.970 -175.854  -48.508  -10.565   83.079  -71.444 -178.847  117.078   66.559 -145.293  179.680   92.545
13 -107.347  166.661  100.769  -27.008  174.610  174.850  -47.632  175.897  -74.708  -95.409 -155.729 -178.257  153.641 -104.499  -58.184  145.938 -175.608  161.332  149.419  -71.875   58.725  178.926  164.612 -108.749 -159.954  177.163 -179.112   57.493 -175.386  -45.041   -3.171   70.260  -52.853  178.096  116.272   73.583  -50.957 -173.893   73.276
14 -106.467 -172.326   94.372  -19.125  176.404  177.074  -49.234 -168.510 -113.665  -63.884  172.821 -175.647  143.834  -98.981  -68.705  166.966 -174.402  147.737  143.196  -91.993   56.029 -179.595  162.531 -107.880 -176.574 -172.122  167.427   60.224 -175.365  -46.872    0.202   65.685  -41.700  172.126  114.887   79.345  -65.212 -178.335   84.968
15  -92.880 -171.944   79.486 -104.166 -174.788  175.660   71.241  164.732 -156.913   84.480 -172.328 -165.295  131.238  -72.191  -43.345  144.506  174.239  135.082  142.348 -169.964   72.957 -177.395  166.166  -93.910 -178.223  178.927  162.586   69.858 -165.997  -49.832   -5.857   85.958  -55.054 -172.120   72.823  160.179  -76.343 -179.666  116.521
16  -79.618 -164.306   92.452 -118.801  165.922 -175.752   73.909 -128.413 -147.982  106.661  158.017 -175.341   78.314 -114.427  -75.613  115.770  160.603  140.871  133.632  -55.951   41.728  166.688  179.784 -104.998 -163.267  176.643  175.924   49.271  178.398  -47.937   -5.198   86.534  -56.488 -173.780  119.805   86.393  -72.796 -176.844   74.650
17  -88.804 -165.710   82.105  -95.914  169.503  171.951   65.917 -133.261 -162.089   82.693  175.939  168.823  100.313 -119.931 -153.124   83.801 -175.673  144.478  119.015  -51.102  -67.333  179.119  173.979  -89.353 -158.319  165.032  173.000   61.729 -179.349  -56.507  -10.355   83.446  -54.418 -175.847  107.982   65.780  -54.865  178.604   91.760
18  -92.254 -178.563  155.741 -125.429  173.220 -177.841  107.816  155.145 -169.014   54.603  178.149  175.767  168.369  -97.678 -154.881   67.847 -159.905  101.519  119.510  -64.718   68.395  160.079 -174.611  -95.442 -163.563  173.170  165.558   69.853 -175.827  -54.571   -4.628   83.957  -58.368  172.874  112.952   98.057  -52.587 -178.163   91.829
19  -79.080 -172.839   87.153 -121.669  174.934  168.161   88.912 -174.052 -167.587 -131.644  179.319 -158.354  161.462  -95.504 -172.175   62.985 -168.954  136.985  129.128  -46.551  -54.459 -177.365  159.654 -116.278 -157.324  176.144  171.695   50.208 -176.873  -41.788   -8.585   68.585  -53.811  174.605  127.070   84.514  -79.249 -173.714   86.498
20 -104.233 -149.689   86.397 -160.639 -175.888 -173.754  156.654 -145.608 -162.403 -153.509 -169.448  174.083   84.049  -96.105 -171.854   68.600 -156.341  137.667  116.665 -153.336   55.601  175.176  160.160  -97.939 -174.734  172.034  173.365   78.829 -162.098  -62.856   -8.264   84.913  -49.173  172.266  115.795   83.085  -72.164 -174.665  103.430
