  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      126        4.423        6.156            2      787.926      555.931      439.950
      127        4.349        6.005            4      769.018      605.551      407.989
      128        4.322        6.156            2      767.964      615.548      423.906
      129        4.304        6.019            3      777.256      654.867      431.774
      130        4.002        6.099            2      777.735      586.321      431.059
      131        4.292        6.083            3      790.644      623.904      430.352
      132        4.315        6.156            3      782.533      639.404      436.791
      133        4.502        5.920            3      780.143      640.104      428.891
      134        4.510        5.989            4      789.439      582.777      428.647
      135        4.370        6.008            4      791.022      596.082      406.784
      136        4.504        5.991            3      797.369      652.458      413.654
      137        4.343        6.122            3      789.260      660.549      434.485
      138        4.378        6.051            4      785.872      681.170      423.724
      139        4.322        6.230            4      798.701      676.306      435.210
      140        4.492        6.177            4      805.800      657.810      431.806
      141        4.209        6.035            4      797.336      701.063      438.090
      142        4.215        6.079            4      781.842      712.283      416.041
      143        4.171        6.053            2      778.040      690.750      422.097
      144        3.890        6.216            3      808.584      685.409      448.112
      145        4.311        6.156            3      782.392      702.901      439.185
      146        4.166        6.106            4      799.057      746.881      416.958
      147        4.136        6.103            3      783.190      701.443      424.730
      148        4.267        5.998            4      777.009      653.331      427.406
      149        4.277        6.157            3      802.141      683.467      414.930
      150        4.262        6.116            3      782.701      670.533      421.679
      151        4.128        6.023            3      770.855      649.872      417.974
      152        4.340        6.120            4      779.651      655.070      418.897
      153        4.336        6.306            3      811.245      676.381      442.552
      154        4.429        6.144            3      769.948      660.251      431.698
      155        4.495        6.141            4      810.780      771.410      428.620
      156        4.335        6.086            3      770.109      659.318      437.490
      157        4.111        6.138            3      785.265      740.595      428.656
      158        4.287        6.126            3      784.494      766.476      444.674
      159        3.850        6.204            3      796.191      714.368      424.938
      160        3.758        6.347            4      815.193      836.555      442.459
      161        3.885        6.330            3      796.718      744.181      410.345
      162        3.966        6.244            3      792.566      761.001      425.164
      163        3.994        6.356            3      802.700      671.509      436.594
      164        4.138        6.286            3      786.625      728.857      432.045
      165        4.337        6.318            4      792.381      730.437      439.507
      166        4.527        6.226            3      787.403      809.960      423.301
      167        4.534        6.109            4      779.691      797.386      400.537
      168        4.310        6.230            3      787.522      736.936      430.314
      169        4.339        6.261            4      790.920      735.309      426.690
      170        4.269        6.263            4      786.687      749.650      437.499
      171        4.208        6.434            4      811.211      779.109      447.773
      172        4.267        6.389            4      790.090      753.960      448.659
      173        4.558        6.175            4      798.551      765.456      430.007
      174        4.908        6.166            3      784.648      739.800      437.665
      175        4.204        6.364            3      793.837      784.329      447.432
      176        4.337        6.305            1      801.996      917.853      423.104
      177        4.407        6.450            3      803.436      878.239      429.203
      178        4.695        6.528            4      819.549      905.661      418.611
      179        4.329        6.872            3      825.359      965.613      433.040
      180        4.903        6.521            4      813.922      906.289      455.469
      181        4.380        6.614            3      815.084      901.890      439.768
      182        3.363        6.859            3      832.906      945.011      435.654
      183        3.889        6.822            4      838.049      982.415      428.956
      184        3.985        7.286            3      834.602      982.943      444.851
      185        4.540        7.176            3      825.621      941.154      436.832
      186        4.931        6.930            4      848.675      953.463      456.218
      187        4.581        7.044            3      836.260      864.801      450.219
      188        4.419        6.947            3      858.853      912.526      448.528
      189        4.660        7.079            2      841.304      786.334      462.132
      190        4.379        6.862            1      840.379      808.990      445.693
      191        4.637        6.577            3      806.600      711.743      435.456
      192        4.513        6.611            3      820.012      717.747      417.942
      193        4.314        6.333            4      808.932      717.810      448.139
      194        4.453        6.738            4      861.263      824.219      440.644
      195        4.428        6.748            3      843.648      876.042      460.143
      196        4.278        7.132            2      869.525      944.260      479.671
      197        4.699        6.812            2      861.023      962.515      486.692
      198        4.164        7.014            1      847.785      913.938      484.880
      199        4.167        6.801            3      819.163      810.456      436.441
      200        3.992        7.098            2      847.409      874.857      460.487
      201        4.377        6.535            2      802.222      878.727      436.142
      202        4.622        6.758            2      811.554      781.060      455.517
      203        4.287        6.297            2      788.508      716.244      457.613
      204        4.451        6.457            2      813.837      761.695      467.514
      205        4.480        6.321            3      827.684      855.678      462.662
      206        4.280        6.320            3      824.813      913.453      471.462
      207        4.218        6.617            2      842.865      886.951      481.698
      208        3.966        6.299            2      838.534      825.438      453.718
      209        4.190        6.139            3      804.118      810.062      432.194
      210        4.227        5.969            2      799.163      814.830      467.386
      211        4.126        6.179            1      812.589      815.690      473.543
      212        4.135        6.097            3      781.389      682.233      438.736
      213        4.040        6.342            1      827.113      789.412      449.012
      214        4.021        6.397            2      809.339      658.203      434.827
      215        4.214        6.707            1      840.660      830.501      437.906
      216        4.004        7.056            1      864.351      784.592      474.244
      217        4.112        6.653            1      841.148      829.889      419.229
      218        4.381        6.320            1      776.375      736.213      391.572
      219        4.237        6.583            1      830.023      817.659      431.972
      220        4.352        6.890            1      860.419      831.340      468.766
      221        4.233        6.544            2      814.315      799.870      425.725
      222        4.529        7.154            0      896.071      872.836      493.179
      223        4.626        7.259            0      889.547      903.603      486.460
      224        4.431        6.884            0      886.373      919.125      528.046
      225        4.299        7.272            0      887.729      945.924      488.772
      226        4.195        7.248            1      883.476      816.810      491.375
      227        4.658        7.010            2      891.978      910.738      477.643
      228        4.485        7.146            2      863.935      849.216      463.600
      229        4.559        7.194            1      854.755      789.301      463.910
      230        4.676        7.152            2      874.538      814.392      478.309
      231        4.556        6.880            0      824.939      704.918      449.191
      232        4.758        6.869            1      832.583      670.482      427.923
      233        4.501        7.298            0      888.732      793.851      513.508
      234        4.734        7.041            2      857.156      770.239      459.139
      235        4.470        6.930            0      881.675      766.133      465.817
      236        4.598        7.228            0      904.030      868.826      539.748
      237        4.445        7.179            1      880.896      813.097      486.199
      238        4.608        7.067            1      863.794      738.683      490.548
      239        4.618        7.026            0      864.302      756.257      450.645
      240        4.768        6.954            1      858.695      793.494      464.562
      241        4.647        7.057            1      854.772      721.373      433.619
      242        4.698        7.020            0      872.077      759.726      498.818
      243        4.762        6.857            0      875.013      764.441      459.263
