  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      126        4.350        6.147            1      851.263      869.394      383.975
      127        3.935        6.007            3      829.165      825.450      327.499
      128        4.764        6.134            3      860.550      842.718      351.155
      129        3.837        5.967            3      820.195      767.626      353.402
      130        4.066        5.920            3      820.344      801.695      317.500
      131        4.281        5.974            2      830.807      836.932      336.126
      132        4.598        6.102            3      834.893      837.239      330.272
      133        4.654        5.957            3      845.421      855.181      331.099
      134        3.980        5.995            3      834.648      791.722      347.932
      135        4.507        6.018            4      844.867      815.494      340.071
      136        4.328        6.032            2      838.828      829.235      340.978
      137        4.390        6.085            2      852.538      823.795      362.222
      138        4.251        6.041            2      834.780      829.155      345.416
      139        4.215        6.068            1      847.225      819.832      345.544
      140        4.591        6.059            4      859.114      863.024      341.453
      141        4.120        6.064            2      833.413      773.534      345.873
      142        4.151        6.046            2      831.962      797.460      328.314
      143        4.312        6.084            2      830.797      815.252      350.845
      144        4.419        6.057            2      837.823      773.779      341.314
      145        4.244        6.067            3      845.149      845.487      354.815
      146        4.554        6.024            2      840.422      810.905      342.140
      147        4.427        6.203            2      862.227      769.486      360.236
      148        4.245        6.062            2      831.699      792.668      326.717
      149        4.288        6.096            4      875.082      835.358      347.717
      150        4.385        6.084            3      850.620      751.277      349.566
      151        4.499        6.020            3      853.467      819.337      344.649
      152        4.504        6.130            2      840.911      802.785      345.773
      153        4.159        6.102            4      829.506      796.429      357.415
      154        4.203        6.118            2      851.100      797.368      358.055
      155        4.408        6.029            3      827.517      735.779      331.283
      156        3.992        6.012            2      827.126      776.658      365.977
      157        4.184        6.076            3      850.306      797.587      341.272
      158        4.038        6.045            3      833.224      759.273      347.946
      159        4.106        6.032            3      833.806      810.902      341.517
      160        4.466        6.117            3      852.847      831.367      323.129
      161        4.173        6.008            2      828.461      764.099      335.364
      162        4.402        6.133            2      853.278      830.364      341.210
      163        4.492        6.171            3      845.975      791.008      373.813
      164        4.352        6.137            3      833.816      767.992      355.205
      165        4.242        6.058            2      853.678      834.011      357.436
      166        4.223        6.046            3      831.534      792.602      347.847
      167        4.434        6.102            2      859.146      868.652      377.883
      168        4.100        6.068            2      845.288      844.191      375.622
      169        4.068        6.063            2      852.873      829.907      360.447
      170        4.361        6.113            2      842.984      836.700      368.267
      171        3.855        6.112            2      858.490      837.252      383.269
      172        3.715        6.048            1      842.794      833.826      381.866
      173        3.723        6.146            1      874.017      862.291      361.684
      174        4.176        5.976            3      814.351      782.018      329.155
