## Torsion are defined with the following atomIDs:
# dihed1: ai= 19068 aj= 19028 ak= 19026 al= 19025
# dihed2: ai= 19028 aj= 19026 ak= 19025 al= 19024
# dihed3: ai= 19026 aj= 19025 ak= 19024 al= 19023
# dihed4: ai= 19025 aj= 19024 ak= 19023 al= 19019
# dihed5: ai= 19024 aj= 19023 ak= 19019 al= 19018
# dihed6: ai= 19023 aj= 19019 ak= 19018 al= 19017
# dihed7: ai= 19023 aj= 19019 ak= 19020 al= 19021
# dihed8: ai= 19019 aj= 19018 ak= 19017 al= 19030
# dihed9: ai= 19036 aj= 19031 ak= 19032 al= 19033
# dihed10: ai= 19031 aj= 19032 ak= 19033 al= 19035
# dihed11: ai= 19032 aj= 19033 ak= 19035 al= 19073
# dihed12: ai= 19016 aj= 19015 ak= 19014 al= 19013
# dihed13: ai= 19015 aj= 19014 ak= 19013 al= 19037
# dihed14: ai= 19038 aj= 19010 ak= 19009 al= 19008
# dihed15: ai= 19010 aj= 19009 ak= 19008 al= 19007
# dihed16: ai= 19009 aj= 19008 ak= 19007 al= 19006
# dihed17: ai= 19008 aj= 19007 ak= 19006 al= 19005
# dihed18: ai= 19041 aj= 19004 ak= 19003 al= 19002
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9  dihed10  dihed11  dihed12  dihed13  dihed14  dihed15  dihed16  dihed17  dihed18
30 -157.975  -23.982  174.843 -137.812  111.191  -74.404   85.401  -20.980   11.071   -0.351 -173.865   13.326  -81.424  159.481 -176.078  112.161  128.681  -13.560
31 -176.770   10.851 -162.703 -126.854   78.026 -105.355   75.141   -8.018  -22.504   28.802 -154.440   25.707  -87.310   98.878 -175.417  176.773   86.951   40.084
32 -170.440   -2.973  175.258 -134.556   95.222 -101.295   86.498    9.873   10.263    9.294 -163.417   34.204  -96.621  116.498 -170.875  110.109  127.317   -6.649
33 -171.323    2.349 -173.155 -145.211   95.926  -96.118   82.934  -19.248   -1.009  -12.629  167.221   36.515  -94.253   84.065  173.244  161.811   99.843   20.924
34 -163.111    0.588 -169.303 -122.413   74.274  -74.089   84.980    0.361    2.377   31.977 -175.280    3.068  -91.942  135.305 -176.022   83.434  143.425  163.153
35 -174.990    2.342 -159.094 -120.101   74.134 -107.562  -13.566   15.155  -24.367   13.202  178.618   14.203  -67.680   96.201  172.462 -163.336  111.988  149.754
36 -163.555    6.102 -163.893 -129.681   83.140 -106.990   82.849   19.003   25.584  -15.329 -157.299   21.937  -88.514   89.022  170.064  -88.766   83.711 -151.407
37  167.628    7.634 -174.273 -140.890  102.673  -78.412   61.063   -6.070  -11.617   -0.441  172.330   15.866  -97.021  100.958 -158.254 -176.946   89.151  174.635
38 -174.162  -11.235 -169.907  -91.783   65.486 -116.974   77.264   45.192  -27.880    7.835 -166.421    5.418  -71.042  130.229  173.652  100.312  127.758 -164.700
39 -179.792    1.673  175.687 -102.234   75.209  -88.721   84.196   17.445   22.872  -18.187   -2.780   -3.247  -45.173  121.865  165.515  134.783  135.421   12.649
40 -165.403    7.100 -176.172 -126.703   80.494 -102.649   88.468   27.733   -5.092   -4.712   -4.742   -2.488  -68.136  164.132  169.796   79.079  146.929    1.836
41 -159.700   12.337 -166.656 -127.929   82.010 -113.604   91.818   13.372    6.549  -16.711   11.386   18.624  -75.083   82.579  179.043  166.473   97.728   -8.985
42 -173.025    4.496  167.053 -127.068  114.161  -89.162   68.043    2.257   -7.546    1.897   12.346    6.291  -96.556  140.091 -158.395   67.780  132.989   45.086
43 -164.686   -8.373  179.621 -139.831  106.878  -62.989   95.398  -29.300  -20.035    0.992   22.092  -10.837  -71.859   78.581  171.722  136.288   95.064  129.881
44 -176.758   -1.900 -172.443 -128.264   72.566 -113.947  100.892   -1.094    5.586    6.371  -11.935    5.119  -55.766   76.646 -175.863  178.037  103.100    7.239
45 -179.545   14.389  179.935 -130.608   93.132  -81.381   80.662  -11.414  -13.566  -18.132    9.359   -5.309  -57.524   93.727  158.430  127.523   75.122 -179.833
46 -166.608   -3.159 -174.097 -121.341   85.836 -104.142   77.422    5.865   -3.746   -9.165   -0.187   20.692  -65.967  164.035 -178.105  106.912  123.498 -161.048
47 -172.398    1.774 -168.487 -124.727   84.074  -88.790   72.424    6.770    6.376   -2.232   -1.259   -3.330  -70.460   92.774  173.986 -131.549   71.331 -139.622
48  174.257   -5.097 -171.868 -130.671   86.100  -80.804   60.932    9.018   18.259    9.507  -17.775   -0.922  -70.667   79.031  177.841 -155.547  144.145  176.671
49  171.961    4.246 -160.674 -122.421   70.525 -110.745   85.048   14.046   17.137   -1.785   -5.075   31.305  -78.764   78.545  178.406  159.395  117.527  144.031
50 -174.780   21.758  175.586 -174.793   93.190  -69.990   85.513  -30.569   22.224  -16.117  -23.460   13.042  -88.807   73.422  172.039  166.436  157.070 -168.152
51  153.858   15.277 -175.745 -122.540   59.385  -97.386   62.055    4.225    7.225  -20.059   -0.296   42.106  -94.737   67.819 -178.956  169.924   91.134  -31.062
52 -172.010   15.036 -170.541 -122.619   76.570 -103.548   59.784   13.160   -6.116   -7.931    9.196   25.512  -84.685   83.644 -174.316 -176.809  142.570 -176.436
53  168.218    9.284 -175.504 -124.453   77.615 -106.691  -34.002   15.300   10.526   -2.730   -4.139   20.377  -87.369   53.268 -163.814 -120.963   83.561  167.778
54 -177.031    5.042 -164.119 -123.985   90.135  -90.790  -30.263    2.393   -2.298   -9.768   15.700   28.796  -81.938  120.405  179.584  144.278  119.814 -166.748
55  170.684    8.962 -167.726 -113.615   63.276  -86.662   91.031    1.377   14.029  -18.512    8.229   48.245 -112.151   89.294  170.136 -103.015  108.080  160.263
56  173.904   13.297 -170.190 -117.490   62.132 -117.797   64.516   26.358    4.480   -0.510    0.313   37.043 -133.170   81.037 -179.551  -91.660  102.708  -55.469
57 -176.535    9.141 -178.723 -117.203   89.276  -85.118   59.593    2.388   -9.822   -8.500    9.325   -5.151  -87.376  109.255  167.641 -139.092  115.773   61.990
58  174.000   -0.711  159.646 -120.690   85.030  -83.863   68.383   14.705   -7.636   11.156   -5.021   -1.228  -78.943   67.082 -173.634  165.880  100.563  -13.719
59  178.782   14.753 -173.044 -160.456   94.484  -54.663   86.672  -32.697   17.575  -26.611    9.349   23.475  -94.449   83.071 -163.977  171.912   86.695   22.950
60 -170.202   -8.363 -179.488 -113.162   84.695 -110.057   96.261   19.362   -1.153   -8.764  -11.082   32.463 -101.791  128.373 -177.583  108.059  107.448   43.669
61 -175.644   -3.911  171.024  -96.464   80.188 -153.017   79.048   30.219    5.103   -0.666  -10.359   38.718  -90.732   74.129 -168.447 -145.534  123.006  167.126
