  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      126        1.740        6.312            0      579.396      398.866      414.863
      127        1.989        6.967            1      580.920      461.653      422.950
      128        2.563        7.138            0      577.169      449.676      420.875
      129        2.248        7.062            2      576.081      459.477      416.206
      130        2.152        7.033            1      576.606      489.541      420.756
      131        2.406        6.882            1      573.563      398.194      406.517
      132        2.172        6.823            1      576.080      409.056      412.477
      133        1.900        6.802            2      577.488      435.648      413.696
      134        2.052        6.927            2      577.017      398.401      422.578
      135        2.255        6.997            0      576.331      398.500      421.107
      136        2.094        6.959            2      573.240      402.879      413.329
      137        2.090        6.772            2      573.271      401.856      409.994
      138        1.681        6.473            0      575.588      381.259      418.731
      139        2.357        6.579            2      571.974      386.947      403.972
      140        2.028        6.602            1      569.356      397.469      406.555
      141        2.352        7.049            1      572.985      415.628      416.991
      142        2.265        7.027            1      573.559      437.550      411.082
      143        2.338        7.015            2      570.053      414.006      397.670
      144        2.183        7.072            2      574.838      403.954      405.703
      145        2.382        7.076            2      570.867      396.069      410.232
      146        2.864        7.320            1      572.376      412.071      401.579
      147        2.453        7.103            1      564.428      405.136      389.456
      148        2.275        6.875            2      572.402      419.997      410.544
      149        2.249        6.976            1      574.630      383.610      399.239
      150        2.200        6.735            1      570.907      364.863      406.692
      151        2.082        6.762            1      579.883      382.592      423.330
      152        2.240        6.354            2      576.649      352.421      414.828
      153        1.898        6.278            2      567.164      370.339      394.761
      154        1.772        5.760            1      571.690      354.722      407.941
      155        2.868        7.235            2      572.642      396.101      397.059
      156        2.204        6.979            0      577.526      388.618      406.890
      157        1.899        6.346            0      566.329      396.650      395.201
      158        1.815        6.641            0      578.124      433.569      421.355
      159        1.718        5.711            0      575.497      378.476      413.597
      160        1.525        5.855            2      574.243      404.931      416.374
      161        1.658        5.695            1      572.755      384.503      408.290
      162        1.478        5.926            1      573.674      356.992      409.467
      163        1.522        5.856            1      574.064      351.718      420.851
      164        1.548        5.787            1      574.939      343.885      416.119
      165        1.202        6.048            2      578.247      362.118      425.660
      166        1.403        6.026            0      573.118      371.319      421.806
      167        1.403        5.918            1      576.613      321.662      423.356
      168        1.584        5.841            1      572.035      348.928      417.562
      169        1.671        5.859            0      576.131      325.220      414.890
      170        1.634        5.784            0      569.294      346.888      403.796
      171        1.691        5.794            1      570.178      316.650      405.641
      172        1.635        5.755            1      570.674      324.417      399.663
      173        1.613        5.707            1      579.866      364.474      426.048
      174        1.328        6.009            2      572.627      388.034      418.241
      175        1.519        5.798            1      576.976      353.566      427.115
      176        1.548        5.883            2      580.338      386.585      415.586
      177        1.945        6.635            2      570.635      434.033      407.433
      178        2.425        6.972            2      569.197      396.413      399.180
      179        1.808        6.812            1      580.506      417.229      421.457
      180        1.815        6.726            1      577.257      408.165      408.717
      181        1.806        6.706            1      575.685      411.901      410.909
      182        1.845        6.721            2      576.098      431.364      414.970
      183        2.675        7.151            0      577.529      435.211      418.997
      184        1.779        6.610            1      575.561      413.123      408.964
      185        1.799        6.725            2      579.482      404.076      423.555
      186        1.538        6.061            1      575.410      386.027      422.789
      187        1.546        6.038            1      577.399      347.069      406.113
      188        1.623        5.780            1      564.703      348.108      413.339
      189        1.558        6.034            0      572.830      345.617      409.012
      190        1.349        6.285            1      578.559      372.711      420.470
      191        1.381        5.966            0      574.350      354.735      426.243
      192        1.598        5.830            1      571.989      323.295      408.838
      193        1.552        6.225            0      580.161      360.946      420.582
      194        1.956        6.771            1      574.356      429.944      402.034
      195        1.606        6.389            1      580.602      391.316      415.208
      196        1.390        5.914            1      571.800      376.722      424.904
      197        1.757        6.270            1      572.435      394.610      403.959
      198        1.637        6.284            1      576.657      390.972      428.328
      199        1.743        6.717            1      576.877      423.457      422.375
      200        1.569        6.275            0      569.719      367.736      401.173
      201        1.705        6.438            2      573.877      400.354      411.490
      202        1.819        6.546            2      571.111      425.577      409.654
      203        1.426        6.513            0      575.877      455.181      413.371
      204        1.870        6.835            2      581.953      404.139      431.136
      205        1.834        6.706            0      578.029      418.284      427.838
      206        2.459        6.753            0      572.410      423.529      409.414
      207        2.696        7.063            2      577.116      413.229      410.333
      208        2.719        6.695            0      572.758      408.153      411.331
      209        2.504        6.780            1      566.307      390.793      393.775
      210        2.916        6.931            1      574.967      434.200      422.071
      211        2.404        6.903            1      568.464      396.518      406.630
      212        2.244        7.033            1      573.373      443.780      405.909
      213        2.067        6.756            2      569.266      418.210      421.223
      214        2.372        6.972            1      574.952      450.661      401.139
      215        2.177        6.881            0      577.648      409.889      420.380
      216        2.497        7.018            1      569.883      400.363      399.409
      217        2.380        6.740            1      573.339      422.951      406.390
      218        2.448        6.837            0      571.808      391.459      407.859
      219        2.269        6.858            0      574.448      404.944      416.901
      220        1.847        6.779            2      574.480      442.950      411.114
      221        2.511        6.838            1      566.484      403.481      392.427
      222        1.901        6.794            1      568.888      403.819      412.061
      223        1.997        6.728            1      566.074      421.926      391.810
      224        2.203        6.835            1      569.879      409.997      398.427
      225        2.196        6.909            1      571.721      418.517      405.931
      226        2.356        6.880            1      564.486      422.832      391.071
      227        1.901        6.729            1      570.097      423.333      412.189
      228        2.093        6.692            1      575.590      427.940      416.092
      229        2.147        6.406            2      573.614      365.218      403.586
      230        2.316        6.692            1      571.336      417.474      407.731
      231        1.792        6.587            1      576.495      394.107      414.997
      232        2.093        6.763            2      567.214      386.797      394.877
      233        1.929        6.785            2      574.408      447.057      409.157
      234        2.323        6.688            1      567.512      395.656      403.347
      235        1.966        6.445            2      576.752      406.723      422.262
      236        1.821        6.340            0      569.357      412.095      398.835
      237        2.057        6.841            1      565.690      418.661      396.843
      238        1.936        6.460            1      570.322      378.590      402.031
      239        1.915        6.761            0      571.287      450.261      397.860
      240        2.094        6.834            1      574.058      407.221      418.470
      241        1.903        6.710            1      566.368      397.799      400.460
      242        1.925        6.514            1      572.461      396.261      409.359
      243        2.197        6.832            2      569.543      418.120      403.496
      244        2.177        6.869            1      575.967      449.741      419.043
      245        1.888        6.906            1      577.416      454.206      424.265
      246        2.109        6.990            0      576.087      454.634      410.039
      247        2.293        6.940            1      574.585      429.855      406.432
      248        2.436        6.951            1      567.108      417.977      399.761
      249        2.044        6.910            2      575.143      428.914      421.035
      250        2.182        6.806            0      578.166      437.736      409.105
      251        2.043        6.710            2      576.776      421.104      425.812
      252        2.327        7.047            1      578.617      439.211      422.373
      253        2.032        6.494            0      573.143      414.094      400.703
      254        2.233        6.790            2      576.838      400.169      422.829
      255        2.187        6.496            1      561.693      379.285      383.321
      256        2.685        7.011            1      567.489      424.999      400.656
      257        1.880        6.617            1      568.943      364.442      397.038
      258        2.348        7.102            1      570.400      455.152      400.765
      259        1.906        6.402            0      570.904      420.358      410.475
      260        1.942        6.696            0      577.243      443.532      417.309
      261        2.228        6.924            1      575.223      433.231      423.412
